,Exp_553,Exp_401,Exp_266,Exp_62,Exp_111,Exp_567,Exp_570,Exp_500,Exp_52,Exp_222,Exp_587,Exp_17,Exp_462,Exp_271,Exp_49,Exp_451,Exp_502,Exp_86,Exp_612,Exp_509,Exp_12,Exp_208,Exp_529,Exp_128,Exp_56,Exp_635,Exp_93,Exp_313,Exp_446,Exp_643,Exp_223,Exp_315,Exp_649,Exp_191,Exp_445,Exp_518,Exp_365,Exp_356,Exp_420,Exp_547,Exp_103,Exp_690,Exp_693,Exp_367,Exp_325,Exp_182,Exp_124,Exp_272,Exp_332,Exp_732,Exp_733,Exp_737,Exp_23,Exp_460
 1.9041057  3.700006   1.7165821  1.7707046  2.4742692  1.8453099
 2.5893137  3.2615151  3.8682969  2.31867    2.3157132  2.0134664
 1.5879983  2.7053633  4.044846   2.7126613  3.2912154  3.0524738
 2.4388118  2.5059016  2.3013504  2.8394809  3.2082057  1.6708081
 1.5321567  2.22629    2.97616    3.5232804  2.7509985  1.8638532
 2.1454747  1.5031163  2.8966548  1.6723255  2.3424485  0.99189794
 3.3983972  2.1112845  3.0563064  2.512395   2.8955078  2.3750935
 2.7918315  2.978102   2.7193935  2.8409293  3.2795973  2.180018
 3.9774206  2.3931575  2.3816013  1.2447671  2.4127777  2.2316527
 3.3285758  1.6793681  2.7570565  2.4488156  2.765717   2.2336128
 2.4730468  1.845217   2.2436879  2.9091516  1.7485429  1.2873176
 2.475436   2.168995   3.438176   2.064831   2.5931056  1.8497169
 1.8498507  3.3074243  2.3048472  2.6075757  2.2734363  3.5188437
 2.122498   2.7762265  2.190016   2.376484   3.138337   2.1761208
 1.8588555  2.119198   2.815065   2.2959626  1.9292971  3.0132437
 2.1648188  1.1117176  3.2623565  2.4527376  1.5758739  2.2814138
 2.2138743  1.6059245  1.9209332  3.1647573  1.4846166  2.106197
 3.7909074  3.01057    2.4363472  3.1225514  1.8046429  1.5099992
 1.70247    2.5882018  1.702077   1.2465141  3.037981   2.0654483
 3.7425063  2.9136455  2.201573   1.3935149  2.8090613  2.483249
 1.1610793  1.1399513  1.768208   1.3769637  2.2529705  1.4098414
 3.2462835  1.2525194  1.76346    2.4856763  1.6984601  2.2910538
 2.9700117  1.6237065  2.106677   1.7463586  2.6263137  2.5024264
 2.9740312  2.5804222  3.5080237  2.0594013  1.7879945  2.8017225
 2.1072345  3.1244342  1.7019261  2.4092937  1.7792336  3.4966571
 1.994641   2.0951715  2.303937   1.5770636  1.3006235  2.6375465
 1.8946513  2.0841763  3.0096202  2.2543476  2.7901258  2.6004696
 3.2553678  2.638342   1.4464494  2.0460856  2.0519261  2.5409763
 2.0963504  2.2876115  1.7757357  2.3208346  1.1137075  1.7573258
 2.0345101  3.3709328  2.505627   2.4017162  1.290703   1.0095965
 1.8292575  1.6752301  2.7642682  2.096523   1.6905745  2.5050967
 1.779348   1.2552328  2.9989233  1.9620785  1.7697712  2.9300761
 2.988947   2.3728008  1.0851418  0.8979378  1.9346558  2.8242447
 2.2897913  2.827079   2.104866   2.2487144  3.4919846  1.8409637
 3.1365101  1.6461669  3.1626594  2.5417516  1.7711086  2.0088527
 3.5269983  2.145032   3.049129   2.3129659  1.9115163  1.9790375
 3.0773714  1.3346044  2.4492674  2.8980236  1.642345   1.6540768
 2.6162066  1.8323722  2.6905918  2.5237248  1.6377116  3.0442092
 2.714906   2.237567   2.2344441  1.437051   3.2750392  2.8539188
 1.503265   2.2618284  1.9424473  1.4303973  3.566964   2.5624993
 1.740613   1.2207204  1.1756107  2.0509484  2.180765   3.1727254
 2.1186676  1.6936427  2.5881581  1.7710618  2.6095738  2.0290928
 2.65785    1.9104171  2.8127148  2.764778   2.0655284  2.5856216
 1.2487242  2.441108   2.1694314  2.1303174  2.5209303  1.1108623
 1.802591   3.3978505  2.5008602  3.2205977  2.8930387  2.429259
 2.3916743  2.026963   2.1456225  2.1020813  2.2113814  0.9044061
 1.415018   3.942724   2.015593   3.753343   2.4722831  3.9295607
 3.6883528  1.7850921  2.3975925  3.1941345  2.4293027  1.7723514
 2.4818106  1.6024041  2.5407648  2.2869387  2.435043   2.0261784
 2.911134   2.6749337  2.6731784  2.299788   1.7697452  2.003142
 1.7470417  2.0308967  1.6515402  2.9287372  2.6167803  3.4626467
 1.7228779  1.9767948  2.7087476  2.8752463  2.453948   2.4807372 ]","[2.8628929 2.6044877 1.9337511 3.1221051 4.2878857 2.4302783 2.2485626
 2.6884499 3.2786474 3.900501  3.4477336 3.3286538 2.188887  2.9155023
 3.462686  2.3707273 2.3288426 2.6613982 3.1183782 4.0443115 1.8397892
 2.7479315 3.5761988 2.5146563 3.6713772 2.8453996 2.9705222 3.1689792
 3.5454195 3.969868  4.0104547 2.8407395 3.3570173 2.192602  1.8897637
 2.8039687 2.8623965 3.857533  2.9280746 3.7630153 3.6854372 2.8250391
 3.7850888 3.564412  4.6122513 2.4524343 2.336856  2.8838797 2.7314808
 3.2953446 2.6195376 2.65663   3.1042235 2.2795408 3.3958507 3.2854676
 3.3605683 2.4149094 3.8597116 3.299186  3.0157413 2.905251  3.727834
 3.523933  4.094558  3.192459  3.1161437 3.853953  2.328382  3.3687773
 4.1940684 2.3877766 2.6305313 3.3725677 3.4162197 3.756266  3.9976838
 1.4142237 2.9702327 2.947876  3.327136  3.0284905 3.3147469 2.100285
 3.2024524 3.1436806 4.007841  2.654986  3.6377058 3.4152207 3.08783
 3.4735692 3.446754  4.209058  4.2819824 2.4085026 4.1301804 3.3954854
 3.533056  2.2504973 2.978913  2.4765668 3.2628982 2.8881774 3.826438
 2.646074  3.027456  2.6184933 2.4463892 2.6126628 2.4903753 3.3186102
 3.1312416 2.928052  3.250609  2.2382364 4.411906  3.403715  3.8448687
 3.2244828 3.0188618 4.0085244 3.3459308 3.2096524 3.9357119 4.111577
 3.7781458 2.4376554 2.5387542 2.8184977 2.9089506 3.5550554 2.8462527
 2.7272973 4.4536023 2.5556958 3.5216918 3.5500462 3.5627646 2.1018572
 3.9337518 4.1285415 1.1994231 3.134364  3.3633115 2.104038  3.1247904
 2.951883  1.9651874 3.4732497 4.0661683 3.816669  2.8466363 3.817985
 2.785704  1.7932533 2.9769003 3.5698752 2.676532  1.5006735 3.8754354
 2.5056858 3.8757694 4.626345  2.838128  2.119419  2.980925  3.5087373
 2.622747  2.5554204 1.7558144 2.9188998 3.3814209 1.6630213 3.7621255
 2.2276988 3.1801314 3.5704434 2.4103613 3.0620117 2.7840652 2.1538124
 3.3465936 2.5301914 2.634203  2.4918833 4.753833  2.7344549 2.9642763
 3.0846298 2.4403436 4.2084913 2.3155417 3.1341786 1.6320146 3.6130464
 2.5290506 3.0531871 2.4939637 3.3921928 2.9730363 2.2318487 2.5744455
 3.6996934 3.1293259 3.127936  4.1410646 2.416793  3.1858196 2.5372458
 3.9380906 2.6089532 1.9859318 3.3919203 2.963254  2.6438382 3.595278
 3.386415  3.0959768 3.255162  2.3950622 2.9004076 2.090818  3.2744367
 3.305556  2.7164226 2.5670977 2.1645944 2.6339657 2.518706  4.19377
 2.746567  1.7198877 2.27136   3.5062616 2.5883071 2.807787  2.9999366
 2.7664318 3.1793456 3.0912883 2.2657225 2.0555887 1.7441344 2.7470958
 3.06295   3.5376334 3.6938913 3.3402898 3.5994725 3.012539  2.2251322
 3.0426793 3.0839071 3.069003  2.3690493 2.737509  3.0394566 3.143644
 3.281306  3.2607338 3.4500697 2.6099772 2.0949886 2.7890093 2.4254413
 4.020621  3.1421194 3.1014278 2.689679  3.4465327 2.4394512 2.9377797
 3.5432258 3.1548245 2.4772425 3.2885098 2.3461018 3.688574  2.1707985
 4.019558  3.373933  2.2895238 3.185961  2.304577  1.7660409 4.4724975
 2.4804165 2.7964957 2.6702387 2.6970108 2.1244667 2.4748597 4.1053753
 3.0533412 1.2456514 3.5219967 2.688272  3.274237  3.9307494 4.18534
 2.6372724 3.356722  3.9348223 4.1771536 2.590839  2.313343  3.036005
 3.340693  2.670857  3.5624597 2.4994004 2.810248  4.3245864 3.242875
 3.1683981 3.7204008 2.6982317 3.5384126 2.15685   3.3262997 2.1694078
 3.1784482 1.7663232 2.0879862 3.4810343 3.0968935 3.315465  2.4529533
 3.7723713 3.3881304 3.0039148 2.3658817 3.8865156 3.69525   2.47984
 3.8920915 2.9414966 4.018987  2.436144  3.739115  4.006095  3.7951097
 2.6624348 3.9138186 3.2831454 2.7121322 3.2301235 2.2796547 3.0906575
 2.650621  2.3405    2.6712947 3.0746777 2.494458  3.2160664 2.7193668
 3.0626817 4.1087794 2.4660213]","[2.2378726 3.2252026 1.695027  3.149161  3.3150773 2.508096  1.5735352
 2.6807122 2.9641054 4.1305437 3.016257  2.8489928 1.9426675 2.4369056
 2.4452138 2.4351525 1.8086413 2.4648213 3.4249563 2.4375234 2.627285
 2.0750887 3.5741594 2.2447698 3.3362513 2.417082  2.7053626 3.4193764
 2.2611077 2.8440251 2.4642987 3.2875142 2.8370283 2.0133913 1.8605878
 2.1220102 2.6580813 2.8400245 2.175192  3.2706347 3.3161106 2.1359556
 2.3845367 3.7617836 4.2971034 2.2200685 1.9130789 2.87214   3.3233707
 2.7691019 1.8840685 2.0151134 2.4812934 1.9443423 3.1347218 3.2465699
 3.2883582 3.2832024 3.4981284 2.2624426 2.8850813 2.4724107 3.100811
 3.2516065 3.5924973 2.595794  3.2573013 3.7703128 1.790461  2.2162957
 4.272705  3.1550498 2.3972015 2.3034286 3.4174445 2.7218184 4.5465703
 1.5201986 2.580161  2.7103674 2.9708154 3.3408084 2.3964972 3.5346427
 3.3893135 2.0197468 2.861874  2.3561506 3.5094607 2.6115837 2.7223427
 3.3143594 3.6388035 2.6317453 4.3281164 1.9993671 3.0283456 2.423561
 4.094074  1.6645515 3.5212595 2.022315  2.4612432 2.1268604 2.4044368
 2.1718016 2.22296   2.4746795 2.4846117 2.904652  2.3669717 3.1372168
 3.3616726 3.836943  2.5364027 2.9085062 4.1015234 3.4066617 2.6810877
 2.9824646 3.2546427 3.887256  3.6104028 2.5678291 2.3882556 2.7646275
 2.5450752 2.0372581 2.0688105 2.9936907 2.5861022 2.4300318 2.6970286
 3.026685  4.817639  2.4001207 2.837334  3.3820667 4.1282067 2.56803
 3.8189957 3.5756361 1.222239  2.113714  2.4214492 2.519178  3.9416142
 2.5848336 2.0971198 4.1024675 3.7738047 2.7553844 1.9427103 2.5388906
 2.100241  1.4305229 2.3271499 2.6721177 2.0196557 1.3679775 2.8427966
 2.4897888 2.913322  4.1135435 2.957182  2.7882059 2.3576946 2.728473
 4.204747  4.1456146 1.655165  4.369623  2.7581744 1.3501331 3.478053
 3.2160764 2.1049235 3.1529138 2.835385  2.391757  3.0444613 2.4991388
 2.5495849 2.6736023 3.1386015 3.245818  4.182405  2.7087083 2.5974495
 3.6886678 2.059418  4.656046  1.9981059 2.6087985 1.4930795 3.6150014
 2.9663625 2.5480168 2.2380507 4.442725  3.0256376 2.8791952 3.2657185
 4.1127896 1.9961882 2.1997309 2.6827765 2.310323  2.1553895 2.4276438
 2.4807498 3.185496  2.3313813 4.0756655 1.9816766 2.4075625 4.53224
 3.6132905 2.5372865 3.5511193 3.558226  2.0687091 1.7183598 3.5407155
 3.7119775 2.2139413 3.322717  3.5790727 3.5261354 2.1580126 4.2858725
 2.391822  1.5837781 1.9512726 2.1684432 3.804714  2.5483437 3.6495261
 2.1589391 2.8646805 2.471772  2.346397  2.5829253 2.8134146 2.1068742
 2.774105  4.4433217 3.3922524 3.3498764 2.315869  2.5690014 1.9779037
 2.6245043 4.217832  2.5777667 2.1698518 4.0585375 3.6514723 2.6848252
 2.0679193 2.429072  3.6756506 2.3838158 2.4884377 2.3840535 3.6273057
 3.1307347 2.2615025 2.01454   2.8570876 3.5832307 1.8692313 2.6472747
 2.4843385 2.3349879 2.0983264 3.2239497 2.3179553 2.4938488 2.5070486
 3.1644244 3.387316  2.5744452 2.6782026 2.3680415 1.4945921 3.6417203
 2.275109  3.1604831 3.675051  4.2754054 1.8002572 2.5980127 4.209846
 2.5290294 1.192966  3.9416323 3.1354325 3.3743286 2.7523463 3.8870573
 2.2128167 2.294361  2.4604814 2.9594102 2.0647695 3.241959  3.2356784
 2.344591  2.3223503 3.2491138 4.0866165 2.0845594 4.027891  3.07263
 2.737878  2.7691822 2.103544  4.428022  1.8267993 3.9755673 1.7731557
 3.532122  2.755399  1.5636326 3.0641603 2.2952673 2.8786771 1.95858
 3.3945024 2.9918587 2.5752592 2.0839949 2.561387  3.6961508 1.7624507
 3.509463  4.1050396 3.4028223 1.8715388 3.8432016 2.7817008 2.8162909
 2.33425   4.5195947 3.5612435 2.0047405 3.9857707 2.9084935 2.0258026
 2.034776  2.1411254 2.4289231 2.5616853 1.982351  3.2114067 2.6597505
 2.2405348 3.186457  2.519498 ]","[1.242051   1.4506749  1.8068815  1.7322304  2.9440947  2.2860796
 1.5277978  1.104269   0.8650421  1.584877   0.986273   2.5676675
 2.045174   2.2325542  2.517409   1.6245388  1.9887747  2.0944855
 1.0208727  2.7000868  1.3819369  2.206475   1.2188503  1.9460074
 1.9980375  1.5430807  2.6721218  1.0516114  2.0395827  2.565636
 2.6369193  1.6011823  1.9275506  1.3086498  0.94112086 1.326527
 1.203088   2.4177907  1.3786235  2.129984   1.7706722  2.0986264
 2.2389565  1.6352943  1.7407424  2.0640779  1.5358831  1.2822105
 1.3796202  1.2397623  1.8627027  1.934544   2.0991147  1.1784033
 1.5429211  1.2180748  1.348949   0.5717425  2.4335163  2.0315309
 1.9490669  1.5640423  1.5065327  1.5754923  1.6598601  1.4813098
 0.8142571  2.26868    2.0024605  1.639183   1.6465524  0.684766
 1.8719897  2.6037555  1.1196505  2.1514628  1.3578033  1.4358404
 2.5245266  2.1630762  0.88840836 1.752077   2.450619   0.49348864
 1.5150788  1.6828158  2.0795345  2.0705972  1.574235   2.4599001
 1.6216371  1.7301198  1.6836005  2.8056257  1.7296091  1.554953
 2.2998421  2.4922073  1.426133   1.7703512  0.74397594 1.5853939
 1.3358089  1.9442084  2.2725928  2.0483944  1.6539863  1.1956522
 1.8683071  1.3389711  1.1694533  1.2773249  1.8084856  1.4213182
 2.2159567  0.64804655 2.0824277  2.4487662  2.697316   2.3774536
 1.0956254  1.443267   1.4141983  2.3037097  2.6227214  2.5076947
 3.1365983  2.455329   1.5473882  0.950483   1.3498255  3.1188266
 2.5464058  0.8995776  1.8665725  1.1868832  3.0190613  1.8010793
 1.6421877  1.0260401  1.3829567  2.6178596  0.88869905 2.8661842
 2.4347677  1.8951775  1.3356603  1.3625329  1.5130806  1.5942653
 1.8613214  1.899508   2.7077754  2.0664089  2.2100208  1.1608697
 2.553107   2.4222956  1.9064268  0.8244579  2.3386185  2.2715607
 2.2884858  2.692783   1.4389127  1.0411819  1.4783581  2.3219416
 0.52522355 0.50891167 1.6527485  0.64226884 2.506573   1.0192378
 1.4857553  1.1844295  2.2125678  2.3359509  1.2066542  2.3720539
 0.66209954 1.9722403  2.7587824  2.3105438  0.64436275 0.6142492
 2.796824   0.70628357 1.1929098  0.9017346  1.6349298  1.494839
 1.028606   2.0658596  0.7158195  1.8423023  1.5536053  1.1805204
 1.7553047  0.92867607 1.5158209  0.5190797  1.4054546  1.5354093
 1.9419076  2.7396975  2.744608   1.161691   1.4376487  0.81253886
 2.351355   0.6916674  1.3354757  1.5467424  2.1579986  0.8432164
 1.3577542  2.0261567  2.3607159  1.5057975  1.0446087  1.6874682
 1.2178966  1.0395997  1.0330354  2.0880568  1.3770369  0.5268818
 0.59492975 1.9488786  1.8082924  2.3223703  1.4325471  2.081288
 2.7028778  0.81088424 0.86692494 0.8363081  1.2881321  1.698277
 1.3132771  1.6018928  0.96936375 0.8817114  1.9784986  1.6737815
 1.1091318  1.6724453  2.0971775  2.3445992  1.1831179  1.0752323
 1.028447   0.9706072  1.4151052  1.1370173  0.67144406 0.8671813
 1.847473   2.0794053  1.6180046  1.5177077  2.2272038  1.4728881
 1.0836867  1.5544633  2.809      1.7136613  2.4086545  2.1922646
 1.5467991  1.6726104  1.5838464  2.5122645  2.0627131  1.0533018
 0.924039   0.8631241  2.6888764  1.3894962  2.2595527  1.1202252
 1.4788243  2.3935142  1.6693507  1.0980247  2.275918   1.2284597
 1.7216125  1.2567656  0.5531644  1.3357763  2.3538234  1.5592848
 2.2804072  0.9070873  1.2212048  0.824491   1.1003093  3.344937
 2.419677   2.1592357  1.8583508  2.375417   3.45891    2.3046255
 1.239292   0.7219141  2.4208052  1.4928678  1.9131814  0.49428627
 1.6050577  2.0161378  2.0826983  1.1514692  2.3985739  1.8340805
 0.98320735 1.3729033  1.2847592  1.2649611  1.426326   0.85952383
 1.3940961  1.9102614  2.4768152  1.7228067  1.1902562  1.8780657
 1.42981    2.330306   1.7736105  2.1303117  2.1761208  1.7258196
 2.1873055  0.88340336 2.5939994  1.459385   1.7880589  3.3108344
 2.4215567  1.6822842  1.3069206  1.9612191  1.9489936  1.2538602
 0.5411677  1.6246766  1.8731058  0.9991501  1.3652672  1.4652847
 1.7392937  2.2632036  0.7437304  1.6673957  2.8502574  1.6505336 ]","[2.639768  2.379465  1.4303328 2.7400503 2.6236365 1.4880825 1.7874962
 2.7048097 3.5026333 2.8471234 3.6042514 1.8481832 2.4637866 1.6972476
 2.7422733 2.6555624 2.3470352 2.1700811 3.731601  2.646422  1.7041098
 2.3298776 3.5849056 2.3826087 3.217144  3.2412438 1.2748159 3.6867936
 2.5233927 2.719449  2.7416356 3.1208398 2.7760909 2.1086717 2.2176106
 2.4387164 2.9287493 2.90654   2.529883  3.4558568 3.535614  2.0321224
 2.801461  3.2856498 3.7437494 1.3890553 2.1115465 2.7780416 2.717732
 3.3950632 1.8740726 2.034308  2.7902656 2.2076104 3.579498  3.5233757
 3.5348308 2.7719123 2.6602342 2.53018   2.242443  3.2268589 3.5877218
 3.5464747 3.9288318 2.884852  3.2486663 3.0849147 2.331917  2.7879138
 3.6948938 2.8207572 1.8515443 2.5059054 3.4917536 3.0411525 3.16187
 1.4355813 1.9369043 1.9144042 3.5440068 2.3595843 2.6969473 2.6258104
 3.2323732 2.4435751 3.4537754 2.3443272 3.3610985 2.5590234 3.2028906
 3.0004122 3.2020981 2.7822528 3.7197993 2.3805122 3.4117806 2.7187185
 3.4458883 1.6097337 3.232847  2.3734987 3.0078542 2.1926458 2.830658
 2.5804    2.7518022 2.9803033 2.700762  2.0027037 2.9925122 3.243672
 2.3516161 2.7471552 2.856747  2.00522   3.5031567 1.8269912 2.7920332
 1.9424129 3.541323  3.6530445 3.247791  2.1525905 2.6148806 3.197369
 1.8738866 2.3527598 2.2090175 3.0756412 3.109641  2.2607083 1.4337138
 3.1055276 3.451316  2.9735858 1.6044155 3.029816  3.1094062 2.0972874
